 County Name ,FIPS #, County # ,Public Health Region (11),Health Service Region (8),Metropolitan Statistical Area (MSA),Metropolitan Divisions (MD),Metro Area (82),NCHS Urban Rural Classification (2006),NCHS Urban Rural Classification (2013),Border 32 (La Paz Agreement),Border 15
 Anderson ,001, 1 ,4,4/5N,--,--,Non-Metro,Micropolitan,Micropolitan,Non-Border,Non-Border
 Andrews ,003, 2 ,9,9/10,--,--,Non-Metro,Micropolitan,Micropolitan,Non-Border,Non-Border
 Angelina ,005, 3 ,5,4/5N,--,--,Non-Metro,Micropolitan,Micropolitan,Non-Border,Non-Border
 Aransas ,007, 4 ,11,11,Corpus Christi,--,Metro,Medium Metro,Medium Metro,Non-Border,Non-Border
 Archer ,009, 5 ,2,2/3,Wichita Falls,--,Metro,Small Metro,Small Metro,Non-Border,Non-Border
 Armstrong ,011, 6 ,1,1,Amarillo,--,Metro,Small Metro,Medium Metro,Non-Border,Non-Border
 Atascosa ,013, 7 ,8,8,San Antonio-New Braunfels,--,Metro,Large Fringe Metro,Large Fringe Metro,Non-Border,Non-Border
 Austin ,015, 8 ,6,6/5S,Houston-The Woodlands-Sugar Land,--,Metro,Large Fringe Metro,Large Fringe Metro,Non-Border,Non-Border
 Bailey ,017, 9 ,1,1,--,--,Non-Metro,Noncore,Non-core,Non-Border,Non-Border
 Bandera ,019, 10 ,8,8,San Antonio-New Braunfels,--,Metro,Large Fringe Metro,Large Fringe Metro,Non-Border,Non-Border
 Bastrop ,021, 11 ,7,7,Austin-Round Rock,--,Metro,Large Fringe Metro,Large Fringe Metro,Non-Border,Non-Border
 Baylor ,023, 12 ,2,2/3,--,--,Non-Metro,Noncore,Non-core,Non-Border,Non-Border
 Bee ,025, 13 ,11,11,--,--,Non-Metro,Micropolitan,Micropolitan,Non-Border,Non-Border
 Bell ,027, 14 ,7,7,Killeen-Temple,--,Metro,Medium Metro,Medium Metro,Non-Border,Non-Border
 Bexar ,029, 15 ,8,8,San Antonio-New Braunfels,--,Metro,Large Central Metro,Large Central Metro,Non-Border,Non-Border
 Blanco ,031, 16 ,7,7,--,--,Non-Metro,Noncore,Non-core,Non-Border,Non-Border
 Borden ,033, 17 ,9,9/10,--,--,Non-Metro,Noncore,Non-core,Non-Border,Non-Border
 Bosque ,035, 18 ,7,7,--,--,Non-Metro,Noncore,Non-core,Non-Border,Non-Border
 Bowie ,037, 19 ,4,4/5N,Texarkana,--,Metro,Small Metro,Small Metro,Non-Border,Non-Border
 Brazoria ,039, 20 ,6,6/5S,Houston-The Woodlands-Sugar Land,--,Metro,Large Fringe Metro,Large Fringe Metro,Non-Border,Non-Border
 Brazos ,041, 21 ,7,7,College Station-Bryan,--,Metro,Small Metro,Small Metro,Non-Border,Non-Border
 Brewster ,043, 22 ,10,9/10,--,--,Non-Metro,Noncore,Non-core,Border,Border
 Briscoe ,045, 23 ,1,1,--,--,Non-Metro,Noncore,Non-core,Non-Border,Non-Border
 Brooks ,047, 24 ,11,11,--,--,Non-Metro,Noncore,Non-core,Border,Non-Border
 Brown ,049, 25 ,2,2/3,--,--,Non-Metro,Micropolitan,Micropolitan,Non-Border,Non-Border
 Burleson ,051, 26 ,7,7,College Station-Bryan,--,Metro,Small Metro,Small Metro,Non-Border,Non-Border
 Burnet ,053, 27 ,7,7,--,--,Non-Metro,Noncore,Non-core,Non-Border,Non-Border
 Caldwell ,055, 28 ,7,7,Austin-Round Rock,--,Metro,Large Fringe Metro,Large Fringe Metro,Non-Border,Non-Border
 Calhoun ,057, 29 ,8,8,--,--,Non-Metro,Small Metro,Micropolitan,Non-Border,Non-Border
 Callahan ,059, 30 ,2,2/3,Abilene,--,Metro,Small Metro,Small Metro,Non-Border,Non-Border
 Cameron ,061, 31 ,11,11,Brownsville-Harlingen,--,Metro,Medium Metro,Medium Metro,Border,Border
 Camp ,063, 32 ,4,4/5N,--,--,Non-Metro,Noncore,Non-core,Non-Border,Non-Border
 Carson ,065, 33 ,1,1,Amarillo,--,Metro,Small Metro,Medium Metro,Non-Border,Non-Border
 Cass ,067, 34 ,4,4/5N,--,--,Non-Metro,Noncore,Non-core,Non-Border,Non-Border
 Castro ,069, 35 ,1,1,--,--,Non-Metro,Noncore,Non-core,Non-Border,Non-Border
 Chambers ,071, 36 ,6,6/5S,Houston-The Woodlands-Sugar Land,--,Metro,Large Fringe Metro,Large Fringe Metro,Non-Border,Non-Border
